timestamp,energy_consumption,temperature,humidity,occupancy,is_weekend,is_holiday,hour_of_day,day_of_year
2020-01-01 00:00:00,66.69934886700227,21.377489131728627,74.70617719516125,7,False,True,0,1
2020-01-01 01:00:00,70.17943255077871,21.80196391995112,70.07805311751706,20,False,True,1,1
2020-01-01 02:00:00,64.25702260766485,23.474301381803105,59.61271024482525,15,False,True,2,1
2020-01-01 03:00:00,65.86761344533893,21.278458708415574,76.2911478895429,0,False,True,3,1
2020-01-01 04:00:00,75.79262381402955,27.002611254098454,53.738425598126874,15,False,True,4,1
2020-01-01 05:00:00,67.61033544390183,27.695933721623685,63.58221235777869,7,False,True,5,1
2020-01-01 06:00:00,69.65291920171215,24.733544543188344,66.1446443727082,6,False,True,6,1
2020-01-01 07:00:00,77.7882644298141,23.44563682362098,68.4739680363023,11,False,True,7,1
2020-01-01 08:00:00,80.46345926602942,26.906744824955105,55.432373172365075,18,False,True,8,1
2020-01-01 09:00:00,98.6640966317883,21.522977729040555,69.52827930817381,90,False,True,9,1
2020-01-01 10:00:00,83.44829926634542,20.25092087825355,71.49957803720928,60,False,True,10,1
2020-01-01 11:00:00,74.03659431010583,19.103658348923265,73.12284549910741,54,False,True,11,1
2020-01-01 12:00:00,70.71384710807268,19.85730284249994,60.336638974413596,66,False,True,12,1
2020-01-01 13:00:00,75.93617276813166,19.30584747035768,73.23609014565693,64,False,True,13,1
2020-01-01 14:00:00,69.39982810011276,14.58916661343257,74.69627842767144,61,False,True,14,1
2020-01-01 15:00:00,82.34201778737155,16.96467171626456,71.7567630877422,92,False,True,15,1
2020-01-01 16:00:00,91.02130312847217,16.721012272202067,62.51180931914108,92,False,True,16,1
2020-01-01 17:00:00,53.64508075662889,14.552350894766654,78.17100742338143,0,False,True,17,1
2020-01-01 18:00:00,38.469349266919345,18.966265582400705,70.28340676675839,3,False,True,18,1
2020-01-01 19:00:00,49.11957660349229,15.036976747785396,76.7472710466785,7,False,True,19,1
2020-01-01 20:00:00,56.10003080234628,15.204686026170297,76.63558724144822,9,False,True,20,1
2020-01-01 21:00:00,61.72591683048092,15.217151894535197,78.77120671024493,0,False,True,21,1
2020-01-01 22:00:00,61.033799744611606,19.0795014442211,65.70331314876655,12,False,True,22,1
2020-01-01 23:00:00,61.988521773502306,21.576169132409447,69.12620362728254,25,False,True,23,1
2020-01-02 00:00:00,54.00120044557873,21.23498793379405,72.4663760793811,12,False,False,0,2
2020-01-02 01:00:00,61.44413629330123,23.360503249661765,60.5998384812786,0,False,False,1,2
2020-01-02 02:00:00,61.51502241412135,28.797553253747626,58.85108197118715,9,False,False,2,2
2020-01-02 03:00:00,52.54687986712392,28.70285584735193,59.105827445668695,24,False,False,3,2
2020-01-02 04:00:00,54.82987013982822,25.223461106686337,68.2389420717004,0,False,False,4,2
2020-01-02 05:00:00,51.324636251212425,24.23370714617097,59.39021217268674,10,False,False,5,2
2020-01-02 06:00:00,51.68450011893639,27.222364792088378,53.935652905393475,10,False,False,6,2
2020-01-02 07:00:00,54.04691118187603,23.5013230785045,64.93545906931239,2,False,False,7,2
2020-01-02 08:00:00,53.85135235271779,24.735726039927105,67.6513635670386,0,False,False,8,2
2020-01-02 09:00:00,62.42055390115207,24.727522047080342,49.41913805302007,62,False,False,9,2
2020-01-02 10:00:00,77.44980183067891,24.611976364201762,58.69381793725293,67,False,False,10,2
2020-01-02 11:00:00,74.45394519904195,20.087229861249746,77.20387987007769,68,False,False,11,2
2020-01-02 12:00:00,70.99659333836186,19.952503100343982,74.53229230458551,89,False,False,12,2
2020-01-02 13:00:00,65.66071612191371,21.26658110880664,77.33571047695384,79,False,False,13,2
2020-01-02 14:00:00,71.83432641829788,13.99975993565003,81.1838817834624,100,False,False,14,2
2020-01-02 15:00:00,55.16505030955899,16.486683448323422,76.04240007998014,68,False,False,15,2
2020-01-02 16:00:00,53.99984532218456,16.259041417210938,82.49434575083008,65,False,False,16,2
2020-01-02 17:00:00,34.11191078225048,20.149782488364224,75.8842651567649,5,False,False,17,2
2020-01-02 18:00:00,23.331652336593187,18.02264705826276,75.51436747708767,2,False,False,18,2
2020-01-02 19:00:00,33.46166476774818,19.689741080809572,68.88149350676576,14,False,False,19,2
2020-01-02 20:00:00,37.67523779581961,15.852700996078413,74.94064383287228,7,False,False,20,2
2020-01-02 21:00:00,44.48477914570028,15.523655288149227,78.5968253672032,20,False,False,21,2
2020-01-02 22:00:00,45.5042545244865,20.802236272401135,76.73084905302727,12,False,False,22,2
2020-01-02 23:00:00,31.85584777644754,17.661806467264935,65.52348230045473,9,False,False,23,2
2020-01-03 00:00:00,52.93861112942299,22.560277871315403,58.33009455438916,0,False,False,0,3
2020-01-03 01:00:00,44.11503514146789,20.976031824227707,61.87719755892658,0,False,False,1,3
2020-01-03 02:00:00,65.07088073075964,22.228821893535507,72.44097180706812,26,False,False,2,3
2020-01-03 03:00:00,54.42649798832648,25.645598169478454,64.98262564435424,13,False,False,3,3
2020-01-03 04:00:00,70.7774702039799,26.843129220615026,59.61068080494178,10,False,False,4,3
2020-01-03 05:00:00,68.5033778170388,22.34644754879888,59.31092126624955,23,False,False,5,3
2020-01-03 06:00:00,62.58850665045683,25.520621409759556,65.28754644665403,26,False,False,6,3
2020-01-03 07:00:00,60.52829587556855,23.284830742842644,64.88652246905659,18,False,False,7,3
2020-01-03 08:00:00,61.58217209874503,24.182129715252298,70.84801916877836,13,False,False,8,3
2020-01-03 09:00:00,78.92025924037537,22.92841710371345,61.72322245882228,82,False,False,9,3
2020-01-03 10:00:00,80.04500344835434,24.53835952138158,66.54612153364049,93,False,False,10,3
2020-01-03 11:00:00,76.24698039520536,19.924102848331405,74.41459115164277,85,False,False,11,3
2020-01-03 12:00:00,62.229355068764335,22.653799191079983,64.10477269952635,52,False,False,12,3
2020-01-03 13:00:00,66.6228539980429,19.42185321374307,68.70297279217013,70,False,False,13,3
2020-01-03 14:00:00,63.158408627952355,19.1972569813254,68.79452294713867,78,False,False,14,3
2020-01-03 15:00:00,57.146811697813575,19.418291760037683,69.09041274736344,72,False,False,15,3
2020-01-03 16:00:00,55.66121372766244,13.911568115754067,83.27234239808848,57,False,False,16,3
2020-01-03 17:00:00,31.515851327540812,17.178721043544282,76.93980400851788,3,False,False,17,3
2020-01-03 18:00:00,37.25691367060727,19.66199838020087,69.39531975138691,8,False,False,18,3
2020-01-03 19:00:00,38.89550504571267,18.07529873030667,66.60976388917823,26,False,False,19,3
2020-01-03 20:00:00,42.76114813719266,16.36272974756465,79.97672417277619,15,False,False,20,3
2020-01-03 21:00:00,24.83760674653149,20.109458103929462,64.5388569845621,4,False,False,21,3
2020-01-03 22:00:00,37.493910754551905,21.228643269953626,70.77254545327938,13,False,False,22,3
2020-01-03 23:00:00,53.146596063112845,23.798518819712353,62.81964733026681,22,False,False,23,3
2020-01-04 00:00:00,52.556968175556676,16.11098337170026,85.08877649390668,13,True,False,0,4
2020-01-04 01:00:00,52.08462752468864,20.115218301204955,69.37714966849512,0,True,False,1,4
2020-01-04 02:00:00,47.10776945275679,24.197996044240412,62.91073585974982,8,True,False,2,4
2020-01-04 03:00:00,47.579439746578956,20.604840905808246,66.85281936570092,4,True,False,3,4
2020-01-04 04:00:00,48.58335218718029,21.57600708453863,53.22048808559788,12,True,False,4,4
2020-01-04 05:00:00,53.7972575142804,27.674160648348142,55.54711370122855,12,True,False,5,4
2020-01-04 06:00:00,57.24035076624707,23.121361281011737,68.94005634991545,16,True,False,6,4
2020-01-04 07:00:00,52.62102952683643,28.57290571233394,54.023839923933906,10,True,False,7,4
2020-01-04 08:00:00,55.23619209284731,22.57891570581611,71.31514022528279,25,True,False,8,4
2020-01-04 09:00:00,57.45555939195053,22.94414262934259,73.62536717258047,1,True,False,9,4
2020-01-04 10:00:00,51.05126857745241,22.33734256810986,68.67118788970274,9,True,False,10,4
2020-01-04 11:00:00,59.35808939280042,22.63712426920352,71.4072403706231,8,True,False,11,4
2020-01-04 12:00:00,70.62828328382525,18.646781053432193,68.80629449259077,42,True,False,12,4
2020-01-04 13:00:00,56.123723712608,21.010874451365876,73.76167977899071,33,True,False,13,4
2020-01-04 14:00:00,45.411929509407116,14.555907813122282,78.27178088878811,33,True,False,14,4
2020-01-04 15:00:00,53.34564648124131,19.99876456067045,82.44539450841357,54,True,False,15,4
2020-01-04 16:00:00,42.34612142827118,14.77577841719039,72.09248368513234,43,True,False,16,4
2020-01-04 17:00:00,50.9153537551604,15.188117563040866,77.82389826907243,54,True,False,17,4
2020-01-04 18:00:00,50.235167997570045,18.170330093495966,75.17731988723519,61,True,False,18,4
2020-01-04 19:00:00,41.253533572226516,15.099962470986492,80.9889603811989,30,True,False,19,4
2020-01-04 20:00:00,34.40399676986602,14.378890609308085,66.25474332753498,7,True,False,20,4
2020-01-04 21:00:00,29.830701801118014,15.009149921323823,73.05703530883412,4,True,False,21,4
2020-01-04 22:00:00,38.61921868383383,18.173729639132883,66.86811471599384,9,True,False,22,4
2020-01-04 23:00:00,44.72533960501037,24.388012143614628,72.49877390503532,19,True,False,23,4
2020-01-05 00:00:00,52.1959467559361,22.919774349548746,68.46743707045754,5,True,False,0,5
2020-01-05 01:00:00,50.98103038251177,20.49689952793444,70.31941504742623,19,True,False,1,5
2020-01-05 02:00:00,50.53652500280421,23.131074414933014,64.16659092744358,0,True,False,2,5
2020-01-05 03:00:00,58.99448393736449,22.533745317527526,59.51580602558498,25,True,False,3,5
2020-01-05 04:00:00,56.40917717034213,25.345148170835177,63.91409655413738,16,True,False,4,5
2020-01-05 05:00:00,72.11246275637836,27.778087729871046,60.41977820178528,26,True,False,5,5
2020-01-05 06:00:00,50.04072434791665,22.755456271072262,68.9232626482142,4,True,False,6,5
2020-01-05 07:00:00,63.386974789224496,25.381553504818115,64.28818719017256,25,True,False,7,5
2020-01-05 08:00:00,54.04701683043555,23.377063936838617,54.51895216138947,16,True,False,8,5
2020-01-05 09:00:00,56.95513678973778,23.693818118196873,69.43252485759263,14,True,False,9,5
2020-01-05 10:00:00,48.918360133904784,20.381801098641834,64.22903534137015,4,True,False,10,5
2020-01-05 11:00:00,57.89552945702539,22.954284243722377,60.991939805961366,23,True,False,11,5
2020-01-05 12:00:00,41.95811805046083,17.42730355025073,77.36623803668914,26,True,False,12,5
2020-01-05 13:00:00,70.69683761416677,19.353105137294943,71.3433189094249,47,True,False,13,5
